id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,ova_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
1747,Freedom,2006-11-24,2008-05-23,"2041, Earth. After being pulled into the planet's atmosphere, the fall of the Freeport Space Station has led to the ""Great Cataclysm""—an event that devastated the Earth's environment. Left as a polluted wasteland, survivors go to war with their fellows to guarantee themselves resources; in the end, these scrimmages have erased the whole existence of humanity. Coincidentally, life still exists on a moon base. Although it is supposedly meant as an immigration outpost for the mission to explore Mars, it is soon turned into a city, both regulating and allowing its citizens to flourish. The lunar base, officially named ""The City of Eden,"" holds the hope of fully colonizing the moon.

Takeru, one of many citizens of Eden in the year 2267, participates in ""Tube Races"" between gangs and groups using hovercraft-like vehicles. Due to causing an accident in one of his races, Takeru is sentenced to complete volunteer work outside the city. While clearing his punishment, Takeru stumbles upon remains that may unravel the truth about Earth and Eden's genesis.

[Written by MAL Rewrite]",7.36,2506,4597,25240,8137,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 3, 'name': 'Racing'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",7,original,1697,pg_13,"[{'id': 14, 'name': 'Sunrise'}]",251,,NIL,2006.0,fall,975,9804,693,650,13116,25238.0,0.9468,0.0532
33818,Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,2017-03-29,2017-03-29,An unaired episode bundled with the seventh Blu-ray volume of the  Amanchu! anime series.,7.35,2516,5455,16471,7984,white,ova,finished_airing,"[{'id': 63, 'name': 'Iyashikei'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 36, 'name': 'Slice of Life'}]",1,manga,1420,pg_13,"[{'id': 7, 'name': 'J.C.Staff'}]",252,,NIL,2017.0,winter,345,11188,176,164,4597,16470.0,0.9794,0.0206
13469,Hyouka: Motsubeki Mono wa,2012-07-08,2012-07-08,"It's another regular day, with Houtarou Oreki sitting at home as usual; that is until his sister Tomoe ropes him into working as a lifeguard at the local swimming pool. Upon reaching the pool, Oreki coincidentally meets the other members of the Classics Club. Eru Chitanda notices that a white object that was on a woman's ear a while ago suddenly disappeared, which leaves her curious about the mystery behind it.

Hyouka: Motsubeki Mono wa features Oreki and the rest of the Classics Club as they have fun at the pool and solve the mystery that has piqued Chitanda's curiosity.

[Written by MAL Rewrite]",7.35,2530,1294,194466,116859,white,ova,finished_airing,"[{'id': 7, 'name': 'Mystery'}, {'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}]",1,light_novel,1532,pg_13,"[{'id': 2, 'name': 'Kyoto Animation'}]",253,,NIL,2012.0,summer,2336,165255,1083,486,25293,194453.0,0.9919,0.0081
23441,Love Stage!!: Chotto ja Nakutte,2014-11-22,2014-11-22,"Bundled with volume four of the manga series Love Stage!! written by Eiki Eiki. 

This OVA takes place right after the final episode of Love Stage!! the anime series, which is based on the manga volumes 1-3. ",7.35,2539,2754,68756,35733,gray,ova,finished_airing,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 28, 'name': 'Boys Love'}, {'id': 4, 'name': 'Comedy'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 75, 'name': 'Showbiz'}]",1,manga,1416,pg_13,"[{'id': 7, 'name': 'J.C.Staff'}]",254,,NIL,2014.0,fall,940,57174,289,434,9918,68755.0,0.9895,0.0105
7858,Sora no Otoshimono: Project Pink,2010-09-09,2010-09-09,"The gang goes to an indoor swimming pool for some fun in the sun.  As expected, all hell breaks loose when Tomoki goes on one of his perverted missions.

Meanwhile, Nymph is having some issues with the loss of her master and considers asking Tomoki to be her replacement master.

This episode was not aired on TV because it was deemed too dangerous...",7.35,2556,2045,111081,60727,gray,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 35, 'name': 'Harem'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",1,manga,1422,pg_13,"[{'id': 88, 'name': 'AIC ASTA'}]",255,,NIL,2010.0,summer,1915,90086,795,599,17680,111075.0,0.9874,0.0126
1190,Tennis no Oujisama: Sonzoku Yama no Hi,2003,2003,"The Seishun Academy Boys' Tennis team have gone off to the S.K.B Tennis Club for a one-day boot camp. The infamous ""training from Hell"" first tests the members as they run all the way up toward the mountainside club. Shortly after, they participate in specialized tennis practice that matches their specific playstyles. With the threat of Sadaharu Inui's new ""Marvelous Surprise Inui Juice Excellent"" awaiting any who fail to complete their daily tasks, the boys persevere through their exhaustion. 

A group of ill-mannered university students also arrive at the resort and demand to use the courts initially reserved for Seishun. Annoyed by their arrogance, Ryouma Echizen single-handedly challenges them to a match, with the winner claiming the right to the courts. Can the young freshman ""super rookie"" defeat the pompous team by himself?

[Written by MAL Rewrite]",7.35,2559,5500,16178,8507,white,ova,finished_airing,"[{'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",1,manga,1800,pg_13,"[{'id': 10, 'name': 'Production I.G'}]",256,,NIL,-1.0,NIL,182,13406,106,155,2328,16177.0,0.9839,0.0161
18177,Yowamushi Pedal: Special Ride,2013-08-08,2013-08-08,"Sakamichi Onoda is an otaku who just wants to find more people to join the recently disbanded anime club with him. However, when a couple cyclists spy his skill in riding the bulky mamachari bike he's had since youth, they attempt to convince him to join the bicycle racing club instead. 

An OVA bundled with the 29th volume of the manga.",7.35,2568,5066,19985,9572,white,ova,finished_airing,"[{'id': 3, 'name': 'Racing'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",1,manga,1245,pg_13,"[{'id': 73, 'name': 'TMS Entertainment'}]",257,,NIL,2013.0,summer,367,15025,176,207,4210,19985.0,0.9808,0.0192
23319,"Suisei no Gargantia: Meguru Kouro, Haruka",2014-09-27,2015-04-04,"A 2-episode OVA for Suisei no Gargantia revealed during an announcement at AnimeJapan 2014.

(Source: MAL News)",7.34,2571,3539,43506,19749,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}]",2,original,3195,pg_13,"[{'id': 10, 'name': 'Production I.G'}]",258,,NIL,2014.0,summer,1938,28252,1124,430,11756,43500.0,0.9643,0.0357
1919,Urusei Yatsura OVA,1985-09-24,1991-06-21,"The adventures of Lum, Ataru, Ten, and all the gang from Tomobiki continue in an assortment of new – but no less weird – stories. 

Watch as Lum, Ataru, and Shinobu encounter a rabbit-clad youth, enter the Room of Destiny, and get a glimpse into their futures in ""Inaba the Dreammaker,"" or see Ran's plans to use a sherbet cone-producing bird to open a sherbet shop one hot Tokyo summer go terribly awry in “Raging Sherbet.” Ataru has yet another bad experience with Lum's cooking in ""I Howl at the Moon"".

(Source: ANN)",7.34,2578,6952,9048,3153,white,ova,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",11,manga,1950,pg_13,"[{'id': 11, 'name': 'Madhouse'}, {'id': 37, 'name': 'Studio Deen'}, {'id': 207, 'name': 'Magic Bus'}]",259,,NIL,1985.0,summer,454,4332,288,199,3774,9047.0,0.9462,0.0538
36686,Hifuu Katsudou Kiroku: The Sealed Esoteric History,2015-12-29,airing,"In the Outside World, only a few people know of the hidden realm called Gensokyo. Two of those individuals are Maribel Hearn and Renko Usami—the sole members of the Secret Sealing Club. Together, they dedicate themselves to learning more about Gensokyo, ranging from the Genso-Lunar War thousands of years ago to the history of the Moriya Shrine. Whether it be small talk, in-depth discussions, or tracking people who may have connections to this mystical land, even the sky cannot limit their growing curiosity.

[Written by MAL Rewrite]
",7.34,2594,7048,8783,1154,white,ova,currently_airing,"[{'id': 10, 'name': 'Fantasy'}]",0,game,1800,pg_13,[],260,,NIL,2015.0,fall,1851,0,919,276,5733,8779.0,0.8639,0.1361
